City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Batemans Bay,AU,-35.7167,150.1833,70.92,58,54,12.06,broken clouds
70,Hasaki,JP,35.7333,140.8333,43.29,33,0,14.32,clear sky
71,Russkaya Polyana,UA,49.417,31.9201,31.75,84,100,11.45,overcast clouds
72,Qaanaaq,GL,77.484,-69.3632,-0.11,96,100,3.83,overcast clouds
73,Riacho De Santana,BR,-13.6092,-42.9389,72.0,82,100,4.56,light rain
74,Bengkulu,ID,-3.8004,102.2655,74.35,95,100,12.26,overcast clouds
75,Dikson,RU,73.5069,80.5464,-20.74,100,98,3.74,overcast clouds
76,Torbay,CA,47.6666,-52.7314,45.75,94,100,18.41,moderate rain
77,Carnarvon,AU,-24.8667,113.6333,82.47,69,75,14.97,broken clouds
78,Barotac Viejo,PH,11.0419,122.8522,81.36,71,98,21.27,overcast clouds
79,Kontagora,NG,10.3999,5.4695,70.02,20,0,7.45,clear sky
80,Mahebourg,MU,-20.4081,57.7,79.25,94,40,10.36,scattered clouds
81,Blythe,US,33.6103,-114.5964,64.85,14,0,9.22,clear sky
82,Albany,US,42.6001,-73.9662,12.15,69,7,6.73,clear sky
83,Los Llanos De Aridane,ES,28.6585,-17.9182,65.12,28,0,10.0,clear sky
84,Hermanus,ZA,-34.4187,19.2345,69.91,90,49,9.86,scattered clouds
85,Calatayud,ES,41.3535,-1.6432,45.18,66,2,0.98,clear sky
86,Northam,GB,51.0333,-4.2167,51.03,94,100,32.28,light rain
87,Micheweni,TZ,-4.9667,39.8333,80.11,82,100,8.99,overcast clouds
88,Cayenne,GF,4.9333,-52.3333,80.1,85,20,5.01,few clouds
89,Pisco,PE,-13.7,-76.2167,68.05,88,0,5.75,clear sky
90,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,99,18.19,light rain
91,Raduzhnyy,RU,62.0961,77.475,7.43,95,100,4.81,overcast clouds
92,Barrow,US,71.2906,-156.7887,-20.18,69,0,11.5,clear sky
93,Soderhamn,SE,61.3037,17.0592,31.98,97,100,14.79,snow
94,Lavrentiya,RU,65.5833,-171.0,-15.23,95,25,10.58,scattered clouds
95,Jamestown,US,42.097,-79.2353,12.33,72,0,0.0,clear sky
96,Saskylakh,RU,71.9167,114.0833,-30.93,100,97,2.93,overcast clouds
97,Kavaratti,IN,10.5669,72.642,77.95,60,9,5.01,clear sky
98,Busselton,AU,-33.65,115.3333,71.87,68,71,14.18,broken clouds
