City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,beira,MZ,2022-02-05 02:27:10,-19.8436,34.8389,74.71,87,94,3.36
69,kuandian,CN,2022-02-05 02:27:10,40.7286,124.7847,10.74,53,2,6.13
70,christchurch,NZ,2022-02-05 02:27:11,-43.5333,172.6333,57.94,83,100,1.99
71,hambantota,LK,2022-02-05 02:27:11,6.1241,81.1185,75.54,100,83,2.3
72,mehamn,NO,2022-02-05 02:27:11,71.0357,27.8492,19.65,84,100,30.4
73,kapaa,US,2022-02-05 02:24:01,22.0752,-159.319,78.78,80,40,8.05
74,camacha,PT,2022-02-05 02:27:12,33.0833,-16.3333,60.53,94,20,4.61
75,piet retief,ZA,2022-02-05 02:27:12,-27.0071,30.8132,59.68,98,100,3.96
76,new norfolk,AU,2022-02-05 02:24:49,-42.7826,147.0587,66.9,52,97,1.01
77,tamworth,GB,2022-02-05 02:27:13,52.634,-1.6959,38.93,85,17,4.0
78,hurezani,RO,2022-02-05 02:27:13,44.8,23.65,27.36,63,4,1.19
79,hobart,AU,2022-02-05 02:25:46,-42.8794,147.3294,67.26,72,75,8.05
80,ribeira grande,PT,2022-02-05 02:27:14,38.5167,-28.7,59.02,81,27,14.43
81,klaksvik,FO,2022-02-05 02:23:49,62.2266,-6.589,34.72,54,96,23.87
82,san andres,CO,2022-02-05 02:27:14,12.5847,-81.7006,80.62,74,40,10.36
83,tasiilaq,GL,2022-02-05 02:27:15,65.6145,-37.6368,23.16,69,100,42.73
84,dibulla,CO,2022-02-05 02:27:15,11.2725,-73.3091,75.61,82,1,7.11
85,ziro,IN,2022-02-05 02:27:15,27.6333,93.8333,34.54,99,100,1.63
86,reyes,BO,2022-02-05 02:27:16,-14.3167,-67.3833,76.69,83,93,5.03
87,kaitangata,NZ,2022-02-05 02:27:16,-46.2817,169.8464,58.32,52,17,8.12
88,hasaki,JP,2022-02-05 02:27:16,35.7333,140.8333,46.29,38,6,18.07
89,atambua,ID,2022-02-05 02:23:39,-9.1061,124.8925,80.89,74,96,4.43
90,coahuayana,MX,2022-02-05 02:27:17,18.7333,-103.6833,76.48,77,5,1.9
91,cidreira,BR,2022-02-05 02:27:17,-30.1811,-50.2056,73.0,91,17,4.16
92,longyearbyen,SJ,2022-02-05 02:28:18,78.2186,15.6401,15.64,53,20,20.71
93,cape town,ZA,2022-02-05 02:28:18,-33.9258,18.4232,65.88,68,0,3.0
94,alice springs,AU,2022-02-05 02:28:19,-23.7,133.8833,76.55,38,0,4.61
95,riohacha,CO,2022-02-05 02:28:19,11.5444,-72.9072,76.41,79,1,12.75
96,sitka,US,2022-02-05 02:28:19,57.0531,-135.33,42.69,81,100,13.8
97,andros town,BS,2022-02-05 02:28:20,24.7,-77.7667,71.56,63,1,11.9
98,nikolskoye,RU,2022-02-05 02:28:20,59.7035,30.7861,18.39,88,99,11.95
99,alampur,IN,2022-02-05 02:28:21,15.8833,78.15,67.71,34,10,5.64
100,goderich,CA,2022-02-05 02:28:21,43.7501,-81.7165,12.9,78,100,4.61
101,bereda,ES,2022-02-05 02:28:21,43.2686,-7.5406,49.41,100,100,5.03
102,narsaq,GL,2022-02-05 02:28:15,60.9167,-46.05,-0.89,53,0,16.4
103,natal,BR,2022-02-05 02:28:22,-5.795,-35.2094,82.62,78,40,10.36
104,esperance,AU,2022-02-05 02:28:22,-33.8667,121.9,85.84,47,3,9.15
105,visby,SE,2022-02-05 02:28:23,57.6409,18.296,34.02,100,100,9.22
106,egvekinot,RU,2022-02-05 02:28:23,66.3167,-179.1667,-3.19,70,0,11.3
107,khatanga,RU,2022-02-05 02:24:15,71.9667,102.5,-35.9,100,87,2.66
108,la ronge,CA,2022-02-05 02:28:24,55.1001,-105.2842,-7.35,71,100,8.05
109,grindavik,IS,2022-02-05 02:28:24,63.8424,-22.4338,28.35,63,100,19.57
110,klichka,RU,2022-02-05 02:28:24,50.4457,117.996,0.52,83,100,4.56
111,bengkulu,ID,2022-02-05 02:28:25,-3.8004,102.2655,74.84,90,100,3.42
112,saint george,US,2022-02-05 02:28:25,37.1041,-113.5841,45.36,28,0,3.44
113,dzhebariki-khaya,RU,2022-02-05 02:28:26,62.2167,135.8,-27.98,97,78,2.26
114,fortuna,US,2022-02-05 02:28:26,40.5982,-124.1573,50.18,92,75,1.01
115,altus,US,2022-02-05 02:28:26,34.6381,-99.334,30.27,75,0,0.0
116,gijon,ES,2022-02-05 02:28:27,43.5357,-5.6615,53.8,95,100,3.0
117,amapa,BR,2022-02-05 02:28:27,1.0,-52.0,71.13,99,75,1.59
118,kodiak,US,2022-02-05 02:28:28,57.79,-152.4072,38.71,81,100,3.44
119,tuatapere,NZ,2022-02-05 02:28:28,-46.1333,167.6833,59.83,52,30,7.78
120,ormond beach,US,2022-02-05 02:28:29,29.2858,-81.0559,74.01,83,40,4.61
121,malanje,AO,2022-02-05 02:28:29,-9.5402,16.341,61.75,96,100,3.04
122,vardo,NO,2022-02-05 02:25:58,70.3705,31.1107,22.21,92,100,31.85
123,butaritari,KI,2022-02-05 02:28:30,3.0707,172.7902,82.62,77,47,18.12
124,upernavik,GL,2022-02-05 02:28:30,72.7868,-56.1549,2.25,97,100,10.54
125,karlshamn,SE,2022-02-05 02:28:30,56.1706,14.8619,37.51,82,100,15.55
126,tuktoyaktuk,CA,2022-02-05 02:28:31,69.4541,-133.0374,-23.8,76,0,17.27
127,kurumkan,RU,2022-02-05 02:28:31,54.3,110.3,-2.43,97,91,2.13
128,maine-soroa,NE,2022-02-05 02:28:31,13.2114,12.0241,58.55,31,4,10.63
129,kamaishi,JP,2022-02-05 02:28:32,39.2667,141.8833,29.35,50,15,18.03
130,bahia blanca,AR,2022-02-05 02:26:30,-38.7196,-62.2724,65.05,83,100,11.72
131,monticello,US,2022-02-05 02:28:32,45.3055,-93.7941,3.15,74,75,11.5
132,lerici,IT,2022-02-05 02:28:33,44.0759,9.9112,52.36,95,100,4.9
133,svatove,UA,2022-02-05 02:28:33,49.4103,38.1503,5.63,98,66,5.79
134,horodnya,UA,2022-02-05 02:28:34,51.8909,31.5974,11.19,100,100,4.83
135,soyo,AO,2022-02-05 02:28:34,-6.1349,12.3689,76.89,82,78,2.73
136,mahebourg,MU,2022-02-05 02:28:34,-20.4081,57.7,80.26,89,75,17.27
137,waddan,LY,2022-02-05 02:28:35,29.1614,16.139,49.05,48,0,4.83
138,kanniyakumari,IN,2022-02-05 02:28:35,8.0833,77.5667,77.05,81,29,2.73
139,geraldton,AU,2022-02-05 02:29:36,-28.7667,114.6,106.21,8,0,18.41
140,tamale,GH,2022-02-05 02:29:36,9.4008,-0.8393,73.87,14,0,7.11
141,komsomolskiy,UZ,2022-02-05 02:29:36,40.4272,71.7189,29.62,68,100,6.91
142,boyolangu,ID,2022-02-05 02:29:37,-8.1181,111.8935,80.22,76,89,1.54
143,normandin,CA,2022-02-05 02:29:37,48.8333,-72.5321,-5.49,71,100,6.91
144,arak,IR,2022-02-05 02:27:05,34.0917,49.6892,35.15,67,6,24.18
145,valreas,FR,2022-02-05 02:29:38,44.3837,4.9908,48.92,81,42,11.97
146,zhigansk,RU,2022-02-05 02:29:38,66.7697,123.3711,-28.88,99,99,5.23
147,nola,IT,2022-02-05 02:29:38,40.922,14.5329,56.93,78,88,2.66
148,tshane,BW,2022-02-05 02:29:39,-24.0196,21.8684,71.02,66,51,8.7
149,teseney,ER,2022-02-05 02:29:39,15.11,36.6575,65.93,73,8,7.85
150,general roca,AR,2022-02-05 02:29:40,-39.0333,-67.5833,63.0,64,61,17.4
151,itatskiy,RU,2022-02-05 02:29:40,56.07,89.0369,19.69,80,100,10.07
152,mahibadhoo,MV,2022-02-05 02:29:41,3.7833,72.9667,81.52,70,16,9.24
153,manggar,ID,2022-02-05 02:26:42,-2.8833,108.2667,81.68,75,100,4.76
154,slobozia,MD,2022-02-05 02:29:40,46.7281,29.7078,32.88,75,81,6.49
155,puerto ayora,EC,2022-02-05 02:29:41,-0.7393,-90.3518,75.54,92,75,3.0
156,hilo,US,2022-02-05 02:27:52,19.7297,-155.09,78.53,80,20,8.05
157,norman wells,CA,2022-02-05 02:29:42,65.282,-126.8329,-5.76,59,75,25.32
158,sao filipe,CV,2022-02-05 02:29:42,14.8961,-24.4956,73.08,73,0,9.26
159,victoria,HK,2022-02-05 02:27:55,22.2855,114.1577,60.24,77,100,3.0
160,ponta do sol,PT,2022-02-05 02:29:41,32.6667,-17.1,66.7,67,92,3.76
161,atbasar,KZ,2022-02-05 02:29:43,51.8,68.3333,8.51,80,100,7.54
162,nanortalik,GL,2022-02-05 02:29:43,60.1432,-45.2371,11.89,65,94,39.62
163,portland,US,2022-02-05 02:28:59,45.5234,-122.6762,50.2,87,100,1.01
164,barrow,US,2022-02-05 02:29:44,71.2906,-156.7887,-20.18,69,100,9.22
165,wageningen,NL,2022-02-05 02:29:44,51.9667,5.6667,41.9,85,75,9.22
166,verkhoyansk,RU,2022-02-05 02:29:44,67.5447,133.385,-34.8,97,60,1.23
